time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1976-02-25T20:53:53.400Z,-55.956,-27.519,118,5.1,mb,,,,,us,usp0000f7j,2014-11-06T23:21:34.205Z,"South Sandwich Islands region",earthquake,,,,,reviewed,us,us
1976-02-25T16:36:32.600Z,-0.219,133.597,27,5.3,mb,,,,,us,usp0000f7e,2022-04-27T17:18:33.731Z,"88 km NW of Manokwari, Indonesia",earthquake,,,,,reviewed,us,us
1976-02-25T16:29:00.500Z,10.431,-85.142,66,5.2,mb,,,,,us,usp0000f7d,2022-04-27T17:18:31.703Z,"4 km W of Cañas, Costa Rica",earthquake,,,,,reviewed,us,us
1976-02-25T07:45:26.900Z,32.854,74.297,84,4.5,mb,,,,,us,usp0000f7c,2014-11-06T23:21:34.200Z,"20 km NW of Surkhpur, Pakistan",earthquake,,,,,reviewed,us,us
1976-02-25T06:37:31.900Z,2.832,128.401,40,5.3,mb,,,,,us,usp0000f7b,2022-04-27T17:18:30.054Z,"129 km NNE of Tobelo, Indonesia",earthquake,,,,,reviewed,us,us
1976-02-24T23:55:57.300Z,5.79,127.392,33,4.7,mb,,,,,us,usp0000f78,2014-11-06T23:21:34.197Z,"148 km ESE of Pondaguitan, Philippines",earthquake,,,,,reviewed,us,us
1976-02-24T21:58:03.000Z,35.278,80.816,33,4.8,mb,,,,,us,usp0000f77,2022-04-27T17:18:23.296Z,"217 km SSE of Hotan, China",earthquake,,,,,reviewed,us,us
1976-02-24T18:10:34.500Z,-27.04,-69.44,48,5.2,mb,,,,,us,usp0000f75,2014-11-06T23:21:34.195Z,"95 km ENE of Copiapó, Chile",earthquake,,,,,reviewed,us,us
1976-02-24T17:40:43.100Z,-20.245,168.856,36,5.1,mb,,,,,us,usp0000f74,2014-11-06T23:21:34.194Z,"89 km SSW of Isangel, Vanuatu",earthquake,,,,,reviewed,us,us
1976-02-24T17:37:00.500Z,37.242,140.916,103,4.9,mb,,,,,us,usp0000f73,2014-11-06T23:21:34.194Z,"21 km N of Iwaki, Japan",earthquake,,,,,reviewed,us,us
1976-02-24T14:26:45.400Z,-7.257,129.16,124,5.3,mb,,,,,us,usp0000f70,2014-11-06T23:21:34.192Z,"276 km ENE of Lospalos, Timor Leste",earthquake,,,,,reviewed,us,us
1976-02-24T11:28:38.000Z,19.654,-77.25,33,4.8,mb,,,,,us,usp0000f6y,2014-11-06T23:21:34.190Z,"55 km SE of Niquero, Cuba",earthquake,,,,,reviewed,us,us
1976-02-24T04:17:40.600Z,0.483,125.983,48,5.2,mb,,,,,us,usp0000f6v,2014-11-06T23:21:34.187Z,"149 km SE of Tondano, Indonesia",earthquake,,,,,reviewed,us,us
1976-02-23T22:29:41.300Z,-22.827,171.593,70,4.6,mb,,,,,us,usp0000f6u,2014-11-06T23:21:34.187Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,us
1976-02-23T21:58:50.800Z,19.821,-77.198,33,4.9,mb,,,,,us,usp0000f6t,2014-11-06T23:21:34.186Z,"43 km SE of Media Luna, Cuba",earthquake,,,,,reviewed,us,us
1976-02-23T20:50:19.500Z,-22.911,171.368,74,5.4,mb,,,,,us,usp0000f6s,2022-04-27T17:18:16.733Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,us
1976-02-23T18:07:02.300Z,-7.123,146.073,180,5.4,mb,,,,,us,usp0000f6r,2022-04-27T17:18:09.766Z,"63 km W of Bulolo, Papua New Guinea",earthquake,,,,,reviewed,us,us
1976-02-23T17:12:14.600Z,34.632,26.556,33,4.5,mb,,,,,us,usp0000f6q,2014-11-06T23:21:34.184Z,"68 km SSE of Palekastro, Greece",earthquake,,,,,reviewed,us,us
1976-02-23T16:18:31.100Z,38.302,25.6,33,4.7,mb,,,,,us,usp0000f6p,2014-11-06T23:21:34.183Z,"26 km S of Psará, Greece",earthquake,,,,,reviewed,us,us
1976-02-23T16:12:26.800Z,51.582,-130.067,33,4.6,mb,,,,,us,usp0000f6n,2014-11-06T23:21:34.182Z,"236 km WNW of Port McNeill, Canada",earthquake,,,,,reviewed,us,us
1976-02-23T15:21:22.200Z,18.581,145.744,207,4.8,mb,,,,,us,usp0000f6m,2014-11-06T23:21:34.181Z,"Pagan region, Northern Mariana Islands",earthquake,,,,,reviewed,us,us
1976-02-23T15:14:16.000Z,51.471,-130.442,16,6,ms,,,,,us,usp0000f6k,2022-04-27T17:18:03.888Z,"254 km WNW of Port McNeill, Canada",earthquake,,,,,reviewed,us,us
1976-02-23T09:02:31.600Z,23.019,121.687,33,5.8,ms,,,,,us,usp0000f6e,2022-04-27T17:17:57.472Z,"106 km S of Hualien City, Taiwan",earthquake,,,,,reviewed,us,us
1976-02-23T07:46:06.500Z,7.965,-38.007,33,4.9,mb,,,,,us,usp0000f6d,2014-11-06T23:21:34.177Z,"central Mid-Atlantic Ridge",earthquake,,,,,reviewed,us,us
1976-02-23T03:08:59.700Z,52.048,-169.478,26,5,mb,,,,,us,usp0000f69,2014-11-06T23:21:34.174Z,"107 km SSW of Nikolski, Alaska",earthquake,,,,,reviewed,us,us
1976-02-22T22:56:31.100Z,39.503,22.063,33,4.5,mb,,,,,us,usp0000f66,2014-11-06T23:21:34.172Z,"4 km NNW of Palamás, Greece",earthquake,,,,,reviewed,us,us
1976-02-22T22:54:35.500Z,39.402,22.139,33,4.9,mb,,,,,us,usp0000f65,2022-04-27T17:17:45.084Z,"6 km SSW of Itéa, Greece",earthquake,,,,,reviewed,us,us
1976-02-22T22:26:02.500Z,-22.647,-68.237,113,4.7,mb,,,,,us,usp0000f63,2014-11-06T23:21:34.169Z,"29 km N of San Pedro de Atacama, Chile",earthquake,,,,,reviewed,us,us
1976-02-22T22:01:46.300Z,39.404,22.115,17,4.8,mb,,,,,us,usp0000f62,2014-11-06T23:21:34.168Z,"7 km SW of Itéa, Greece",earthquake,,,,,reviewed,us,us
1976-02-22T18:28:58.300Z,-6.313,154.778,56,5.9,mb,,,,,us,usp0000f5y,2022-04-27T17:17:31.405Z,"78 km W of Panguna, Papua New Guinea",earthquake,,,,,reviewed,us,us
1976-02-22T16:15:17.000Z,44.153,15.718,33,5.2,mb,,,,,us,usp0000f5x,2014-11-06T23:21:34.164Z,"6 km SSE of Obrovac, Croatia",earthquake,,,,,reviewed,us,us
1976-02-22T12:02:54.800Z,39.502,22.154,33,5.1,mb,,,,,us,usp0000f5w,2022-04-27T17:17:30.222Z,"5 km NNW of Itéa, Greece",earthquake,,,,,reviewed,us,us
1976-02-22T08:09:22.300Z,-18.354,-65.197,41,5.3,mb,,,,,us,usp0000f5u,2022-04-27T17:17:29.137Z,"16 km S of Aiquile, Bolivia",earthquake,,,,,reviewed,us,us
1976-02-22T07:47:59.500Z,3.166,99.015,180,5.6,mb,,,,,us,usp0000f5t,2022-04-27T17:17:27.987Z,"18 km WNW of Pekan Bahapal, Indonesia",earthquake,,,,,reviewed,us,us
1976-02-22T07:21:25.800Z,51.726,-176.866,58,5,mb,,,,,us,usp0000f5s,2014-11-06T23:21:34.161Z,"22 km SW of Adak, Alaska",earthquake,,,,,reviewed,us,us
1976-02-22T07:12:10.200Z,-10.84,12.205,33,4.8,mb,,,,,us,usp0000f5r,2014-11-06T23:21:34.160Z,"183 km WNW of Sumbe, Angola",earthquake,,,,,reviewed,us,us
1976-02-22T05:58:27.700Z,52.243,-169.508,44,5.3,mb,,,,,us,usp0000f5p,2022-04-27T17:17:26.591Z,"88 km SSW of Nikolski, Alaska",earthquake,,,,,reviewed,us,us
1976-02-22T05:11:07.900Z,-3.356,145.235,22,6,ms,,,,,us,usp0000f5n,2022-04-27T17:17:21.198Z,"151 km ENE of Angoram, Papua New Guinea",earthquake,,,,,reviewed,us,us
1976-02-22T03:24:49.600Z,0.339,-59.325,33,4.9,mb,,,,,us,usp0000f5m,2022-04-27T17:17:15.485Z,"Para, Brazil",earthquake,,,,,reviewed,us,us
1976-02-22T01:12:24.300Z,36.469,140.484,98,4.9,mb,,,,,us,usp0000f5k,2014-11-06T23:21:34.157Z,"7 km W of Funaishikawa, Japan",earthquake,,,,,reviewed,us,us
1976-02-21T21:43:10.600Z,10.677,122.501,60,5.1,mb,,,,,us,usp0000f5j,2014-11-06T23:21:34.156Z,"1 km SE of San Nicolas, Philippines",earthquake,,,,,reviewed,us,us
1976-02-21T17:44:14.500Z,-6.995,106.953,111,5.1,mb,,,,,us,usp0000f5g,2014-11-06T23:21:34.154Z,"8 km SSE of Sukabumi, Indonesia",earthquake,,,,,reviewed,us,us
1976-02-21T14:27:06.600Z,-59.816,150.159,33,4.9,mb,,,,,us,usp0000f5e,2014-11-06T23:21:34.153Z,"west of Macquarie Island",earthquake,,,,,reviewed,us,us
1976-02-21T11:19:23.200Z,-23.004,171.892,53,5,mb,,,,,us,usp0000f5b,2022-04-27T17:17:14.232Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,us
1976-02-21T08:45:07.000Z,-22.951,171.812,48,5.6,ms,,,,,us,usp0000f5a,2022-04-27T17:17:12.899Z,"southeast of the Loyalty Islands",earthquake,,,,,reviewed,us,us
1976-02-21T06:55:36.400Z,19.452,145.231,187,4.5,mb,,,,,us,usp0000f58,2014-11-06T23:21:34.149Z,"Maug Islands region, Northern Mariana Islands",earthquake,,,,,reviewed,us,us
1976-02-21T05:51:16.100Z,20.3545,-156.0403333,19.145,5.06,ml,37,312,,0.11,hv,hv19760500,2020-03-31T16:57:18.300Z,"24 km WNW of H?w?, Hawaii",earthquake,7.77,3.83,0.44,4,reviewed,hv,hv
1976-02-21T04:13:02.700Z,43.173,137.251,271,4.9,mb,,,,,us,usp0000f56,2014-11-06T23:21:34.147Z,"170 km ESE of Ol’ga, Russia",earthquake,,,,,reviewed,us,us
1976-02-21T02:12:29.100Z,27.176,130.86,33,4.8,mb,,,,,us,usp0000f53,2014-11-06T23:21:34.144Z,"189 km SE of Naze, Japan",earthquake,,,,,reviewed,us,us
1976-02-20T23:19:45.000Z,38.365,73.479,114,5,mb,,,,,us,usp0000f52,2014-11-06T23:21:34.144Z,"47 km WNW of Murghob, Tajikistan",earthquake,,,,,reviewed,us,us
1976-02-20T23:12:36.300Z,38.33,73.455,107,5,mb,,,,,us,usp0000f51,2014-11-06T23:21:34.143Z,"48 km WNW of Murghob, Tajikistan",earthquake,,,,,reviewed,us,us
1976-02-20T23:05:43.400Z,38.366,73.309,102,5,mb,,,,,us,usp0000f50,2014-11-06T23:21:34.143Z,"61 km WNW of Murghob, Tajikistan",earthquake,,,,,reviewed,us,us
1976-02-20T15:32:27.600Z,6.541,123.355,649,4.5,mb,,,,,us,usp0000f4x,2014-11-06T23:21:34.141Z,"75 km W of Bantogon, Philippines",earthquake,,,,,reviewed,us,us
1976-02-20T14:20:42.200Z,13.677,-92.264,32,5.5,mb,,,,,us,usp0000f4w,2022-04-27T17:17:07.057Z,"78 km SSW of Champerico, Guatemala",earthquake,,,,,reviewed,us,us
